,busname,bustype,depature_time,travel_time,end_time,star_rating,price,seat_available,routename,routelink,seatavilable
6807,SIDDHI VINAYAK TRAVELS,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),20:00,13h 20m,09:20,4.0,699.0,24.0,Delhi to Manali,https://www.redbus.in/bus-tickets/delhi-to-manali,24
6808,G.T.SHolidays,Bharat Benz A/C Semi Sleeper (2+2),20:30,12h 00m,08:30,3.3,399.0,25.0,Delhi to Manali,https://www.redbus.in/bus-tickets/delhi-to-manali,25
6809,Kashi Bus,Scania Multi-Axle AC Semi Sleeper (2+2),20:15,11h 30m,07:45,4.7,713.0,8.0,Delhi to Manali,https://www.redbus.in/bus-tickets/delhi-to-manali,8
6810,Subh Yatri Holidays,Volvo A/C Semi Sleeper (2+2),18:00,11h 30m,05:30,4.1,1173.0,35.0,Delhi to Manali,https://www.redbus.in/bus-tickets/delhi-to-manali,35
6811,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:55,10h 25m,08:20,3.8,646.0,34.0,Delhi to Manali,https://www.redbus.in/bus-tickets/delhi-to-manali,34
6812,zingbus Maxx,Volvo 9600 Multi Axle Semi-Sleeper (2+2),23:00,12h 50m,11:50,4.1,1457.0,38.0,Delhi to Manali,https://www.redbus.in/bus-tickets/delhi-to-manali,38
6813,Royal Travels Hills,Volvo A/C Semi Sleeper (2+2),19:30,10h 30m,06:00,4.4,999.0,2.0,Delhi to Manali,https://www.redbus.in/bus-tickets/delhi-to-manali,2
6814,Cab India Travels,Volvo A/C Semi Sleeper (2+2),19:20,12h 10m,07:30,3.9,1299.0,12.0,Delhi to Manali,https://www.redbus.in/bus-tickets/delhi-to-manali,12
6815,VT Bus,Scania Multi-Axle AC Semi Sleeper (2+2),21:15,10h 00m,07:15,3.8,2565.0,49.0,Delhi to Manali,https://www.redbus.in/bus-tickets/delhi-to-manali,49
6816,Subh Yatri Holidays,Volvo A/C Semi Sleeper (2+2),22:30,11h 30m,10:00,2.6,1199.0,33.0,Delhi to Manali,https://www.redbus.in/bus-tickets/delhi-to-manali,33
6817,Himalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),20:00,12h 00m,08:00,3.8,1181.0,9.0,Delhi to Manali,https://www.redbus.in/bus-tickets/delhi-to-manali,9
6818,Metahills holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:00,10h 00m,06:00,3.3,799.0,5.0,Delhi to Manali,https://www.redbus.in/bus-tickets/delhi-to-manali,5
6819,Zakir Flights,Volvo A/C Semi Sleeper (2+2),19:00,11h 00m,06:00,3.8,719.0,4.0,Delhi to Manali,https://www.redbus.in/bus-tickets/delhi-to-manali,4
6820,Holiday Appeal Private Limited,Volvo A/C Semi Sleeper (2+2),22:00,11h 00m,09:00,3.4,799.0,39.0,Delhi to Manali,https://www.redbus.in/bus-tickets/delhi-to-manali,39
